BRIN NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM VESTIGING;PLAATSNAAM VESTIGING;PROVINCIE VESTIGING;ONDERWIJSTYPE VO EN LEER- OF VERBLIJFSJAAR;VMBO SECTOR;AFDELING;ELEMENTCODE;OPLEIDINGSNAAM;LEER- OF VERBLIJFSJAAR 1 - MAN;LEER- OF VERBLIJFSJAAR 1 - VROUW;LEER- OF VERBLIJFSJAAR 2 - MAN;LEER- OF VERBLIJFSJAAR 2 - VROUW;LEER- OF VERBLIJFSJAAR 3 - MAN;LEER- OF VERBLIJFSJAAR 3 - VROUW;LEER- OF VERBLIJFSJAAR 4 - MAN;LEER- OF VERBLIJFSJAAR 4 - VROUW;LEER- OF VERBLIJFSJAAR 5 - MAN;LEER- OF VERBLIJFSJAAR 5 - VROUW;LEER- OF VERBLIJFSJAAR 6 - MAN;LEER- OF VERBLIJFSJAAR 6 - VROUW
00LJ;00;Chr Coll Schaersvoorde;AALTEN;Gelderland;Brugjaar 1-2;N.v.t.;N.v.t.;0033;Ljvb op VMBO-Bbg/Kbg Lw;20;13;21;17;0;0;0;0;0;0;0;0
00LJ;00;Chr Coll Schaersvoorde;AALTEN;Gelderland;Brugjaar 1-2;N.v.t.;N.v.t.;0041;Lj LWOO vb op Bbg Lw;25;19;29;16;0;0;0;0;0;0;0;0
00LJ;00;Chr Coll Schaersvoorde;AALTEN;Gelderland;Brugjaar 1-2;N.v.t.;N.v.t.;0045;Lj LWOO vb op Bbg/Kbg Lw;1;0;0;4;0;0;0;0;0;0;0;0
00LJ;00;Chr Coll Schaersvoorde;AALTEN;Gelderland;Brugjaar 1-2;N.v.t.;N.v.t.;0100;VWO-ATHENEUMSTROOM;17;9;0;0;0;0;0;0;0;0;0;0
00LJ;00;Chr Coll Schaersvoorde;AALTEN;Gelderland;HAVO lj 4-5;N.v.t.;Cultuur en Maatschappij;0373;HAVO Prf Cul/Maat;0;0;0;0;0;0;1;11;1;20;0;0
00LJ;00;Chr Coll Schaersvoorde;AALTEN;Gelderland;HAVO lj 4-5;N.v.t.;Economie en Maatschappij;0372;HAVO Prf Ec/Maat;0;0;0;0;0;0;26;22;25;18;0;0
00LJ;00;Chr Coll Schaersvoorde;AALTEN;Gelderland;HAVO lj 4-5;N.v.t.;Natuur en Gezondheid;0371;HAVO Prf Nat/Gezond;0;0;0;0;0;0;4;19;9;15;0;0
00LJ;00;Chr Coll Schaersvoorde;AALTEN;Gelderland;HAVO lj 4-5;N.v.t.;Natuur en Techniek;0370;HAVO Prf Nat/Tech;0;0;0;0;0;0;6;0;9;1;0;0
00LJ;00;Chr Coll Schaersvoorde;AALTEN;Gelderland;HAVO uitbest. aan VAVO;N.v.t.;N.v.t.;4031;HAVO NW naar VAVO;0;0;0;0;0;0;0;0;0;1;0;0
00LJ;00;Chr Coll Schaersvoorde;AALTEN;Gelderland;HAVO uitbest. aan VAVO;N.v.t.;N.v.t.;4036;HAVO NW naar VAVO teruggekeerd gezakt;0;0;0;0;0;0;0;0;3;1;0;0
